('SeaMonkey', 'Windows NT', 'PluginVersion')	48
('SeaMonkey', 'Windows NT', 'ProcessType')	521
('SeaMonkey', 'Windows NT', 'SystemMemoryUsePercentage')	776
('SeaMonkey', 'Windows NT', 'Theme')	1391
('SeaMonkey', 'Windows NT', 'buildid')	1263
('SeaMonkey', 'Windows NT', 'legacy_processing')	1404
('Shibo_web', 'Windows NT', 'BuildID')	2
('Shibo_web', 'Windows NT', 'Theme')	2
('Shibo_web', 'Windows NT', 'legacy_processing')	2
('Sunbird', 'Windows NT', 'ProductName')	25
('Sunbird', 'Windows NT', 'SecondsSinceLastCrash')	21
('Sunbird', 'Windows NT', 'StartupTime')	25
('Sunbird', 'Windows NT', 'submitted_timestamp')	25
('Sunbird', 'Windows NT', 'timestamp')	25
('Thunderbird', 'Linux', 'IsGarbageCollecting')	63
('Thunderbird', 'Mac OS X', '$total')	1034
('Thunderbird', 'Mac OS X', 'AdapterDeviceID')	882
('Thunderbird', 'Mac OS X', 'Add-ons')	1015
('Thunderbird', 'Mac OS X', 'Comments')	11
('Thunderbird', 'Mac OS X', 'CrashTime')	1034
('Thunderbird', 'Mac OS X', 'EMCheckCompatibility')	993
('Thunderbird', 'Mac OS X', 'Email')	126
('Thunderbird', 'Mac OS X', 'InstallTime')	1034
('Thunderbird', 'Mac OS X', 'ReleaseChannel')	1008
('Thunderbird', 'Mac OS X', 'Throttleable')	1034
('Thunderbird', 'Mac OS X', 'Vendor')	1032
('Thunderbird', 'Mac OS X', 'Version')	1034
('Thunderbird', 'Windows NT', 'Accessibility')	692
('Thunderbird', 'Windows NT', 'AdapterVendorID')	18550
('Thunderbird', 'Windows NT', 'FramePoisonBase')	18883
('Thunderbird', 'Windows NT', 'FramePoisonSize')	18883
('Thunderbird', 'Windows NT', 'Hang')	4
('Thunderbird', 'Windows NT', 'OOMAllocationSize')	1051
('Thunderbird', 'Windows NT', 'ProductID')	18276
('Thunderbird', 'Windows NT', 'ProductName')	19893
('Thunderbird', 'Windows NT', 'SecondsSinceLastCrash')	15200
('Thunderbird', 'Windows NT', 'StartupTime')	19886
('Thunderbird', 'Windows NT', 'UserID')	10
('Thunderbird', 'Windows NT', 'Winsock_LSP')	18462
('Thunderbird', 'Windows NT', 'submitted_timestamp')	19893
('Thunderbird', 'Windows NT', 'timestamp')	19893
('', 'Windows NT', 'ProductID')	1
('', 'Windows NT', 'ProductName')	1
('', 'Windows NT', 'StartupTime')	1
('', 'Windows NT', 'submitted_timestamp')	1
('', 'Windows NT', 'timestamp')	1
('B2G', 'Android', 'Android_CPU_ABI')	8
('B2G', 'Android', 'Android_CPU_ABI2')	8
('B2G', 'Android', 'Android_Manufacturer')	8
('B2G', 'Android', 'Android_Model')	8
('B2G', 'Android', 'B2G_OS_Version')	8
('B2G', 'Android', 'BuildID')	8
('B2G', 'Android', 'Notes')	8
('B2G', 'Android', 'ProcessType')	7
('B2G', 'Android', 'buildid')	8
('B2G', 'Android', 'legacy_processing')	8
('B2G', 'Mac OS X', 'id')	1
('B2G', 'Windows NT', 'AvailablePhysicalMemory')	5
('B2G', 'Windows NT', 'BuildID')	5
('B2G', 'Windows NT', 'Notes')	5
('B2G', 'Windows NT', 'SystemMemoryUsePercentage')	5
('B2G', 'Windows NT', 'Theme')	4
('B2G', 'Windows NT', 'buildid')	5
('B2G', 'Windows NT', 'legacy_processing')	5
('Camino', 'Mac OS X', 'URL')	61
('Eudora OSE', 'Windows NT', 'BuildID')	1
('Eudora OSE', 'Windows NT', 'Theme')	1
('Eudora OSE', 'Windows NT', 'legacy_processing')	1
('Fennec', 'Android', 'Android_Brand')	47257
('Fennec', 'Android', 'IsGarbageCollecting')	2243
('Fennec', 'Android', 'JavaStackTrace')	6361
('Fennec', 'Android', 'URL')	1723
('Fennec', 'Android', 'id')	47257
('Fennec', 'Linux', 'Accessibility')	52
('Fennec', 'Linux', 'AdapterVendorID')	5193
('Fennec', 'Linux', 'Android_Board')	7002
('Fennec', 'Linux', 'Android_Device')	7002
('Fennec', 'Linux', 'Android_Display')	7002
('Fennec', 'Linux', 'FramePoisonBase')	6659
('Fennec', 'Linux', 'FramePoisonSize')	6872
('Fennec', 'Linux', 'OOMAllocationSize')	29
('Fennec', 'Linux', 'ProductID')	6669
('Fennec', 'Linux', 'ProductName')	8630
('Fennec', 'Linux', 'SecondsSinceLastCrash')	5768
('Fennec', 'Linux', 'StartupTime')	8178
('Fennec', 'Linux', 'submitted_timestamp')	8630
('Fennec', 'Linux', 'timestamp')	8630
('Firefox', 'Linux', 'Accessibility')	56
('Firefox', 'Linux', 'FramePoisonBase')	1412
('Firefox', 'Linux', 'FramePoisonSize')	1412
('Firefox', 'Linux', 'OOMAllocationSize')	29
('Firefox', 'Linux', 'PluginFilename')	919
('Firefox', 'Linux', 'PluginName')	29
('Firefox', 'Linux', 'ProductID')	2017
('Firefox', 'Linux', 'ProductName')	2274
('Firefox', 'Linux', 'SecondsSinceLastCrash')	1233
('Firefox', 'Linux', 'StartupTime')	2274
('Firefox', 'Linux', 'UserID')	6
('Firefox', 'Linux', 'submitted_timestamp')	2274
('Firefox', 'Linux', 'timestamp')	2274
('Firefox', 'Mac OS X', 'BuildID')	5700
('Firefox', 'Mac OS X', 'HangID')	117
('Firefox', 'Mac OS X', 'Notes')	4605
('Firefox', 'Mac OS X', 'PluginContentURL')	14
('Firefox', 'Mac OS X', 'PluginHang')	481
('Firefox', 'Mac OS X', 'PluginUserComment')	2
('Firefox', 'Mac OS X', 'PluginVersion')	207
('Firefox', 'Mac OS X', 'ProcessType')	1114
('Firefox', 'Mac OS X', 'Theme')	5620
('Firefox', 'Mac OS X', 'buildid')	4665
('Firefox', 'Mac OS X', 'legacy_processing')	5700
('Firefox', 'Windows NT', 'AvailableVirtualMemory')	172975
('Firefox', 'Windows NT', 'CpuUsageFlashProcess3')	9
('Firefox', 'Windows NT', 'FlashProcessDump')	10132
('Firefox', 'Windows NT', 'IsGarbageCollecting')	15984
('Firefox', 'Windows NT', 'Name')	41
('Firefox', 'Windows NT', 'Startupstop')	1
('Firefox', 'Windows NT', 'URL')	256805
('Firefox', 'Windows NT', 'id')	292493
('MetroFirefox', 'Windows NT', 'Accessibility')	18
('MetroFirefox', 'Windows NT', 'AdapterVendorID')	20
('MetroFirefox', 'Windows NT', 'FramePoisonBase')	20
('MetroFirefox', 'Windows NT', 'FramePoisonSize')	20
('MetroFirefox', 'Windows NT', 'ProductID')	21
('MetroFirefox', 'Windows NT', 'ProductName')	21
('MetroFirefox', 'Windows NT', 'SecondsSinceLastCrash')	9
('MetroFirefox', 'Windows NT', 'StartupTime')	21
('MetroFirefox', 'Windows NT', 'submitted_timestamp')	21
('MetroFirefox', 'Windows NT', 'timestamp')	21
('SeaMonkey', 'Linux', 'BuildID')	25
('SeaMonkey', 'Linux', 'Notes')	23
('SeaMonkey', 'Linux', 'PluginHang')	3
('SeaMonkey', 'Linux', 'ProcessType')	5
('SeaMonkey', 'Linux', 'Theme')	25
('SeaMonkey', 'Linux', 'buildid')	20
('SeaMonkey', 'Linux', 'legacy_processing')	25
('SeaMonkey', 'Mac OS X', 'AdapterRendererIDs')	1
('SeaMonkey', 'Mac OS X', 'AdapterVendorID')	21
('SeaMonkey', 'Mac OS X', 'FramePoisonBase')	20
('SeaMonkey', 'Mac OS X', 'FramePoisonSize')	20
('SeaMonkey', 'Mac OS X', 'OOMAllocationSize')	1
('SeaMonkey', 'Mac OS X', 'PluginFilename')	6
('SeaMonkey', 'Mac OS X', 'ProductID')	22
('SeaMonkey', 'Mac OS X', 'ProductName')	31
('SeaMonkey', 'Mac OS X', 'SecondsSinceLastCrash')	25
('SeaMonkey', 'Mac OS X', 'StartupTime')	31
('SeaMonkey', 'Mac OS X', 'submitted_timestamp')	31
('SeaMonkey', 'Mac OS X', 'timestamp')	31
('SeaMonkey', 'Windows NT', '$total')	1404
('SeaMonkey', 'Windows NT', 'AdapterDeviceID')	1280
('SeaMonkey', 'Windows NT', 'Add-ons')	1383
('SeaMonkey', 'Windows NT', 'AvailablePageFile')	736
('SeaMonkey', 'Windows NT', 'Comments')	4
('SeaMonkey', 'Windows NT', 'CrashTime')	1404
('SeaMonkey', 'Windows NT', 'EMCheckCompatibility')	1299
('SeaMonkey', 'Windows NT', 'Email')	132
('SeaMonkey', 'Windows NT', 'InstallTime')	1403
('SeaMonkey', 'Windows NT', 'PluginCpuUsage')	314
('SeaMonkey', 'Windows NT', 'ReleaseChannel')	1311
('SeaMonkey', 'Windows NT', 'Throttleable')	868
('SeaMonkey', 'Windows NT', 'TotalVirtualMemory')	776
('SeaMonkey', 'Windows NT', 'Vendor')	1404
('SeaMonkey', 'Windows NT', 'Version')	1404
('SeaMonkey', 'Windows NT', 'additional_minidumps')	310
('SeaMonkey', 'Windows NT', 'version')	1263
('Shibo_web', 'Windows NT', '$total')	2
('Shibo_web', 'Windows NT', 'Add-ons')	2
('Shibo_web', 'Windows NT', 'CrashTime')	2
('Shibo_web', 'Windows NT', 'EMCheckCompatibility')	2
('Shibo_web', 'Windows NT', 'InstallTime')	2
('Shibo_web', 'Windows NT', 'ReleaseChannel')	2
('Shibo_web', 'Windows NT', 'Throttleable')	2
('Shibo_web', 'Windows NT', 'Vendor')	2
('Shibo_web', 'Windows NT', 'Version')	2
('Sunbird', 'Windows NT', 'URL')	25
('Thunderbird', 'Linux', 'Accessibility')	31
('Thunderbird', 'Linux', 'FramePoisonBase')	722
('Thunderbird', 'Linux', 'FramePoisonSize')	722
('Thunderbird', 'Linux', 'OOMAllocationSize')	50
('Thunderbird', 'Linux', 'PluginFilename')	1
('Thunderbird', 'Linux', 'ProductID')	766
('Thunderbird', 'Linux', 'ProductName')	796
('Thunderbird', 'Linux', 'SecondsSinceLastCrash')	734
('Thunderbird', 'Linux', 'StartupTime')	796
('Thunderbird', 'Linux', 'submitted_timestamp')	796
('Thunderbird', 'Linux', 'timestamp')	796
('Thunderbird', 'Mac OS X', 'BuildID')	1034
('Thunderbird', 'Mac OS X', 'Notes')	925
('Thunderbird', 'Mac OS X', 'Theme')	1017
('Thunderbird', 'Mac OS X', 'legacy_processing')	1034
('Thunderbird', 'Windows NT', 'AvailableVirtualMemory')	19224
('Thunderbird', 'Windows NT', 'IsGarbageCollecting')	1627
('Thunderbird', 'Windows NT', 'Name')	6
('Thunderbird', 'Windows NT', 'URL')	19883
('', 'Windows NT', 'AvailablePhysicalMemory')	1
('', 'Windows NT', 'BuildID')	1
('', 'Windows NT', 'SystemMemoryUsePercentage')	1
('', 'Windows NT', 'buildid')	1
('', 'Windows NT', 'legacy_processing')	1
('B2G', 'Android', 'Android_Board')	8
('B2G', 'Android', 'Android_Device')	8
('B2G', 'Android', 'FramePoisonBase')	8
('B2G', 'Android', 'FramePoisonSize')	8
('B2G', 'Android', 'ProductID')	8
('B2G', 'Android', 'ProductName')	8
('B2G', 'Android', 'StartupTime')	8
('B2G', 'Android', 'submitted_timestamp')	8
('B2G', 'Android', 'timestamp')	8
('B2G', 'Mac OS X', '$total')	1
('B2G', 'Mac OS X', 'AdapterDeviceID')	1
('B2G', 'Mac OS X', 'Add-ons')	1
('B2G', 'Mac OS X', 'Comments')	1
('B2G', 'Mac OS X', 'CrashTime')	1
('B2G', 'Mac OS X', 'EMCheckCompatibility')	1
('B2G', 'Mac OS X', 'InstallTime')	1
('B2G', 'Mac OS X', 'ReleaseChannel')	1
('B2G', 'Mac OS X', 'Throttleable')	1
('B2G', 'Mac OS X', 'Vendor')	1
('B2G', 'Mac OS X', 'Version')	1
('B2G', 'Mac OS X', 'version')	1
('B2G', 'Windows NT', 'AdapterVendorID')	5
('B2G', 'Windows NT', 'FramePoisonBase')	4
('B2G', 'Windows NT', 'FramePoisonSize')	4
