BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
0b0f0000	0	0	00010000	00001000	00000001	00020000
0b100000	0	0	00010000	00001000	00000001	00020000
0b110000	0	0	000fa000	00002000		00020000
0b20a000	0	0	00001000	00001000	00000104	00020000
0b20b000	0	0	00005000	00001000	00000004	00020000
0b210000	0	0	00048000	00001000	00000004	00020000
0b258000	0	0	00008000	00010000	00000001	
0b260000	0	0	00100000	00001000	00000004	00020000
0b360000	0	0	00098000	00001000	00000002	00040000
0b3f8000	0	0	00008000	00010000	00000001	
0b400000	0	0	00100000	00001000	00000004	00020000
0b500000	0	0	000fd000	00002000		00020000
0b5fd000	0	0	00001000	00001000	00000104	00020000
0b5fe000	0	0	00002000	00001000	00000004	00020000
0b600000	0	0	00100000	00001000	00000004	00020000
0b700000	0	0	0000a000	00001000	00000001	00020000
0b70a000	0	0	00006000	00001000	00000040	00020000
0b710000	0	0	00010000	00001000	00000040	00020000
0b720000	0	0	0000d000	00002000		00020000
0b72d000	0	0	00001000	00001000	00000104	00020000
0b72e000	0	0	00002000	00001000	00000004	00020000
0b730000	0	0	00100000	00001000	00000004	00020000
0b830000	0	0	000b5000	00001000	00000004	00020000
0b8e5000	0	0	0000b000	00010000	00000001	
0b8f0000	0	0	0000d000	00002000		00020000
0b8fd000	0	0	00001000	00001000	00000104	00020000
0b8fe000	0	0	00002000	00001000	00000004	00020000
0b900000	0	0	00100000	00001000	00000004	00020000
0ba00000	0	0	00100000	00001000	00000004	00020000
0bb00000	0	0	00100000	00001000	00000004	00020000
0bc00000	0	0	00096000	00001000	00000004	00020000
0bc96000	0	0	0000a000	00010000	00000001	
0bca0000	0	0	00048000	00001000	00000004	00020000
0bce8000	0	0	00008000	00010000	00000001	
0bcf0000	0	0	00010000	00001000	00000040	00020000
0bd00000	0	0	00100000	00001000	00000004	00020000
0be00000	0	0	00402000	00001000	00000004	00020000
0c202000	0	0	0000e000	00010000	00000001	
0c210000	0	0	00010000	00001000	00000040	00020000
0c220000	0	0	00010000	00001000	00000040	00020000
0c230000	0	0	00010000	00001000	00000040	00020000
0c240000	0	0	00001000	00001000	00000020	00020000
0c241000	0	0	0000f000	00010000	00000001	
0c250000	0	0	00010000	00001000	00000040	00020000
0c260000	0	0	00010000	00001000	00000040	00020000
0c270000	0	0	00010000	00001000	00000040	00020000
0c280000	0	0	0000d000	00002000		00020000
0c28d000	0	0	00001000	00001000	00000104	00020000
0c28e000	0	0	00002000	00001000	00000004	00020000
0c290000	0	0	00050000	00001000	00000002	00040000
0c2e0000	0	0	0009d000	00001000	00000004	00020000
0c37d000	0	0	00003000	00010000	00000001	
0c380000	0	0	00010000	00001000	00000040	00020000
0c390000	0	0	000fd000	00002000		00020000
0c48d000	0	0	00001000	00001000	00000104	00020000
0c48e000	0	0	00002000	00001000	00000004	00020000
0c490000	0	0	00095000	00001000	00000004	00020000
0c525000	0	0	0001b000	00010000	00000001	
0c540000	0	0	0000d000	00002000		00020000
0c54d000	0	0	00001000	00001000	00000104	00020000
0c54e000	0	0	00002000	00001000	00000004	00020000
0c550000	0	0	000fd000	00002000		00020000
0c64d000	0	0	00002000	00001000	00000104	00020000
0c64f000	0	0	00001000	00001000	00000004	00020000
0c650000	0	0	000a5000	00001000	00000004	00020000
0c6f5000	0	0	0000b000	00010000	00000001	
0c700000	0	0	00100000	00001000	00000004	00020000
0c800000	0	0	00038000	00001000	00000404	00040000
0c838000	0	0	00008000	00010000	00000001	
0c840000	0	0	00080000	00001000	00000404	00040000
0c8c0000	0	0	00002000	00001000	00000404	00040000
0c8c2000	0	0	0001e000	00010000	00000001	
0c8e0000	0	0	00001000	00001000	00000020	00020000
0c8e1000	0	0	0001f000	00010000	00000001	
0c900000	0	0	00001000	00001000	00000020	00020000
0c901000	0	0	0000f000	00010000	00000001	
0c910000	0	0	00200000	00001000	00000004	00020000
0cb10000	0	0	00001000	00001000	00000002	01000000
0cb11000	0	0	000c9000	00001000	00000020	01000000
0cbda000	0	0	0000b000	00001000	00000002	01000000
0cbe5000	0	0	00001000	00001000	00000004	01000000
0cbe6000	0	0	00003000	00001000	00000008	01000000
0cbe9000	0	0	00015000	00001000	00000004	01000000
0cbfe000	0	0	00039000	00001000	00000002	01000000
0cc37000	0	0	00009000	00010000	00000001	
0cc40000	0	0	000fd000	00002000		00020000
0cd3d000	0	0	00001000	00001000	00000104	00020000
0cd3e000	0	0	00002000	00001000	00000004	00020000
0cd40000	0	0	00082000	00001000	00000002	00040000
0cdc2000	0	0	0001e000	00010000	00000001	
0cde0000	0	0	00001000	00001000	00000020	00020000
0cde1000	0	0	0005f000	00010000	00000001	
0ce40000	0	0	000b6000	00001000	00000004	00020000
0cef6000	0	0	0004a000	00010000	00000001	
0cf40000	0	0	00004000	00001000	00000004	00020000
0cf44000	0	0	0003c000	00002000		00020000
0cf80000	0	0	00066000	00001000	00000002	00040000
0cfe6000	0	0	0001a000	00010000	00000001	
0d000000	0	0	00100000	00001000	00000004	00020000
0d100000	0	0	00090000	00001000	00000004	00020000
0d190000	0	0	000fd000	00002000		00020000
0d28d000	0	0	00001000	00001000	00000104	00020000
0d28e000	0	0	00002000	00001000	00000004	00020000
0d290000	0	0	00090000	00010000	00000001	
0d320000	0	0	00001000	00001000	00000020	00020000
0d321000	0	0	0006f000	00010000	00000001	
0d390000	0	0	0016a000	00001000	00000004	00020000
0d4fa000	0	0	00001000	00002000		00020000
0d4fb000	0	0	0009e000	00001000	00000004	00020000
0d599000	0	0	00001000	00002000		00020000
0d59a000	0	0	00166000	00001000	00000004	00020000
